Zone 2: Zone 2
Weight;FedEx First Overnight;FedEx Priority Overnight;FedEx Standard Overnight;FedEx 2Day A.M.;FedEx 2Day;FedEx Express Saver;Ground and Home Delivery
45;150.82;181.82;137.11;113.60;97.47;91.57;26.93
46;154.95;185.95;139.19;113.90;100.48;91.82;27.63
47;157.18;188.18;142.17;118.90;100.80;92.08;27.64
48;157.46;188.46;144.25;121.27;102.90;92.34;27.65
49;157.72;188.72;146.44;121.54;103.17;92.59;27.66
50;189.62;158.62;149.32;122.81;103.46;93.02;27.67
51;207.51;176.51;151.44;129.81;104.42;100.44;27.68
52;210.19;179.19;154.48;138.69;111.79;102.74;27.69
53;212.15;181.15;157.30;139.58;114.03;106.70;27.70
54;212.70;181.70;159.35;140.19;115.64;107.29;27.71
55;213.37;182.37;162.46;140.79;117.77;107.81;27.72
56;226.59;195.59;165.42;141.45;118.71;108.33;27.74
57;228.27;197.27;169.00;145.08;119.26;108.84;28.24
58;228.84;197.84;170.22;145.71;119.82;109.37;28.25
59;229.39;198.39;170.76;149.07;120.37;109.89;28.27
60;229.96;198.96;171.73;150.03;120.93;111.87;29.05
61;240.34;209.34;172.26;150.56;121.48;114.75;29.06
62;242.73;211.73;172.82;151.11;122.03;116.61;30.25
63;243.35;212.35;183.86;155.10;122.58;117.91;30.26
64;253.98;222.98;190.25;160.43;130.27;120.77;31.07
65;255.06;224.06;196.03;160.98;135.17;121.29;31.41
66;255.64;224.64;199.61;161.51;135.72;121.82;31.57
67;257.78;226.78;202.50;162.07;136.28;122.33;31.58
68;262.91;231.91;203.55;162.67;136.83;122.84;31.94
69;263.45;232.45;204.07;163.29;137.39;123.37;32.60
70;264.02;233.02;214.12;163.82;137.94;126.40;32.75
71;270.67;239.67;218.21;167.54;146.32;126.98;32.77
72;272.20;241.20;218.75;173.00;147.16;129.97;33.71
73;272.76;241.76;219.70;173.55;147.66;130.48;33.92
74;273.34;242.34;220.56;174.25;148.17;130.99;34.82
75;274.48;243.48;233.09;175.31;149.18;132.15;36.11
76;276.23;245.23;234.36;187.85;152.03;133.79;38.90
77;277.03;246.03;238.19;189.11;153.13;134.83;40.42
78;277.83;246.83;239.39;190.29;154.24;135.86;40.46
79;278.63;247.63;240.45;191.49;155.36;136.91;42.28
80;279.64;248.64;241.60;192.55;156.47;137.95;43.43
81;299.76;268.76;242.65;193.63;161.89;138.98;44.50
82;301.78;270.78;258.80;195.05;163.46;143.93;45.94
83;302.93;271.93;260.42;199.74;165.66;144.97;45.95
84;304.04;273.04;261.48;202.25;166.78;146.01;47.78
85;305.18;274.18;262.54;203.33;174.47;147.03;49.06
86;308.80;277.80;268.25;204.38;175.60;148.07;50.85
87;309.60;278.60;269.57;205.46;176.70;149.11;51.90
88;310.40;279.40;270.66;207.00;177.81;150.14;54.05
89;311.20;280.20;274.20;208.08;178.91;151.18;56.47
90;312.00;281.00;275.00;209.38;180.04;151.98;59.92
91;312.80;281.80;275.80;210.56;181.14;157.94;59.93
92;313.60;282.60;276.60;211.74;182.25;158.97;61.27
93;314.40;283.40;277.40;212.94;183.36;160.29;62.06
94;315.20;284.20;278.20;215.44;184.48;161.45;62.38
95;316.00;285.00;279.00;216.50;185.57;162.83;63.23
96;316.80;285.80;279.80;217.58;187.80;166.48;65.25
97;317.60;286.60;280.60;218.65;188.60;167.52;67.39
98;318.40;287.40;281.40;219.72;189.40;174.36;68.29
99;319.20;288.20;282.20;225.06;190.20;177.13;69.23
100;320.00;289.00;283.00;240.00;191.00;178.00;70.39
101;323.20;291.89;285.83;242.40;192.91;179.78;70.88
102;326.40;294.78;288.66;244.80;194.82;181.56;71.56
103;329.60;297.67;291.49;247.20;196.73;183.34;72.50
104;332.80;300.56;294.32;249.60;198.64;185.12;72.51
105;336.00;303.45;297.15;252.00;200.55;186.90;75.10
106;339.20;306.34;299.98;254.40;202.46;188.68;75.62
107;342.40;309.23;302.81;256.80;204.37;190.46;76.02
108;345.60;312.12;305.64;259.20;206.28;192.24;77.10
109;348.80;315.01;308.47;261.60;208.19;194.02;79.43
110;352.00;317.90;311.30;264.00;210.10;195.80;80.80
111;355.20;320.79;314.13;266.40;212.01;197.58;80.81
112;358.40;323.68;316.96;268.80;213.92;199.36;81.76
113;361.60;326.57;319.79;271.20;215.83;201.14;81.77
114;364.80;329.46;322.62;273.60;217.74;202.92;82.63
115;368.00;332.35;325.45;276.00;219.65;204.70;85.14
116;371.20;335.24;328.28;278.40;221.56;206.48;85.15
117;374.40;338.13;331.11;280.80;223.47;208.26;85.24
118;377.60;341.02;333.94;283.20;225.38;210.04;86.15
119;380.80;343.91;336.77;285.60;227.29;211.82;88.71
120;384.00;346.80;339.60;288.00;229.20;213.60;91.12
121;387.20;349.69;342.43;290.40;231.11;215.38;91.13
122;390.40;352.58;345.26;292.80;233.02;217.16;91.14
123;393.60;355.47;348.09;295.20;234.93;218.94;91.96
124;396.80;358.36;350.92;297.60;236.84;220.72;91.97
125;400.00;361.25;353.75;300.00;238.75;222.50;92.85
126;403.20;364.14;356.58;302.40;240.66;224.28;94.71
127;406.40;367.03;359.41;304.80;242.57;226.06;94.72
128;409.60;369.92;362.24;307.20;244.48;227.84;95.60
129;412.80;372.81;365.07;309.60;246.39;229.62;97.42
130;416.00;375.70;367.90;312.00;248.30;231.40;97.80
131;419.20;378.59;370.73;314.40;250.21;233.18;98.34
132;422.40;381.48;373.56;316.80;252.12;234.96;99.38
133;425.60;384.37;376.39;319.20;254.03;236.74;100.22
134;428.80;387.26;379.22;321.60;255.94;238.52;102.09
135;432.00;390.15;382.05;324.00;257.85;240.30;102.87
136;435.20;393.04;384.88;326.40;259.76;242.08;103.62
137;438.40;395.93;387.71;328.80;261.67;243.86;103.64
138;441.60;398.82;390.54;331.20;263.58;245.64;105.57
139;444.80;401.71;393.37;333.60;265.49;247.42;107.53
140;448.00;404.60;396.20;336.00;267.40;249.20;108.42
141;451.20;407.49;399.03;338.40;269.31;250.98;108.43
142;454.40;410.38;401.86;340.80;271.22;252.76;109.82
143;457.60;413.27;404.69;343.20;273.13;254.54;109.83
144;460.80;416.16;407.52;345.60;275.04;256.32;112.93
145;464.00;419.05;410.35;348.00;276.95;258.10;112.94
146;467.20;421.94;413.18;350.40;278.86;259.88;112.95
147;470.40;424.83;416.01;352.80;280.77;261.66;114.32
148;473.60;427.72;418.84;355.20;282.68;263.44;114.33
149;476.80;430.61;421.67;357.60;284.59;265.22;114.34
150;480.00;433.50;424.50;360.00;286.50;267.00;114.35

Zone 3: Zone 3
Weight;FedEx First Overnight;FedEx Priority Overnight;FedEx Standard Overnight;FedEx 2Day A.M.;FedEx 2Day;FedEx Express Saver;Ground and Home Delivery
1;93.71;62.71;53.04;31.15;26.30;23.42;11.65
2;94.09;63.09;56.76;31.77;27.59;23.86;13.32
3;100.97;69.97;60.03;32.81;28.48;26.49;14.03
4;102.44;71.44;63.65;33.94;29.48;27.35;14.11
5;102.87;71.87;64.20;35.07;30.43;27.78;14.76
6;111.39;80.39;73.81;36.38;31.62;30.28;14.81
7;115.59;84.59;77.02;41.13;34.65;33.19;15.15
8;116.01;85.01;79.24;44.50;37.81;35.13;15.70
9;116.59;85.59;82.66;47.92;39.47;35.39;15.92
10;117.71;86.71;85.00;49.56;42.09;35.64;16.09
11;133.10;102.10;89.68;51.00;44.32;38.37;16.56
12;136.48;105.48;94.26;56.94;46.93;44.96;17.26
13;137.52;106.52;98.98;58.55;49.37;47.29;17.34
14;138.80;107.80;102.85;61.13;51.93;47.99;17.81
15;139.46;108.46;106.32;64.54;53.19;50.97;18.20
16;152.44;121.44;107.40;66.72;54.96;52.58;18.73
17;153.74;122.74;110.95;68.67;56.60;54.23;19.12
18;154.41;123.41;112.20;72.51;58.46;55.94;19.37
19;154.68;123.68;116.97;72.91;60.07;57.55;20.31
20;155.22;124.22;120.42;76.02;62.66;58.29;20.48
21;160.90;129.90;122.75;78.96;65.10;60.20;21.28
22;168.09;137.09;125.35;80.26;68.24;63.93;21.49
23;168.83;137.83;127.75;87.86;69.74;65.38;21.91
24;169.40;138.40;127.99;88.65;72.52;69.48;22.79
25;169.97;138.97;132.58;90.49;74.58;69.92;22.88
26;181.00;150.00;136.33;92.96;76.63;73.43;23.66
27;182.12;151.12;140.09;96.93;78.87;75.57;24.23
28;182.64;151.64;143.73;97.34;81.46;75.88;24.81
29;183.41;152.41;144.10;97.63;82.98;77.73;25.28
30;183.70;152.70;148.03;103.37;85.23;79.85;25.88
31;187.99;156.99;149.74;105.92;88.09;84.41;26.46
32;191.76;160.76;152.31;112.90;90.05;84.96;26.47
33;200.81;169.81;155.36;113.80;92.39;86.74;26.86
34;201.73;170.73;158.83;114.12;94.10;86.99;27.46
35;202.23;171.23;161.99;114.41;96.96;90.85;28.92
36;205.59;174.59;165.45;120.07;99.09;92.86;28.93
37;217.30;186.30;167.68;120.64;100.52;93.53;29.32
38;218.48;187.48;171.06;123.79;102.04;93.97;29.76
39;218.97;187.97;171.40;124.19;104.74;94.38;30.92
40;219.47;188.47;171.60;127.45;107.52;94.81;31.04
41;228.43;197.43;173.20;133.58;110.12;103.22;32.38
42;229.34;198.34;184.30;139.25;112.79;105.74;32.50
43;232.51;201.51;185.41;139.83;115.13;108.79;32.96
44;243.07;212.07;186.06;140.15;116.55;109.10;33.46
45;251.31;220.31;186.68;143.40;119.41;109.35;33.47
46;252.16;221.16;199.06;152.27;120.74;109.62;33.82
47;255.37;224.37;203.15;153.17;121.01;109.88;34.58
48;255.84;224.84;207.17;153.44;125.89;110.13;34.59
49;256.11;225.11;211.30;156.90;126.39;110.36;34.60
50;257.38;226.38;214.39;167.61;126.66;110.88;34.61
51;282.59;251.59;214.79;169.92;127.21;121.15;34.62
52;295.76;264.76;222.01;176.09;134.04;122.84;34.63
53;297.09;266.09;222.74;176.71;136.76;130.77;34.64
54;297.65;266.65;231.15;180.67;138.42;131.59;34.65
55;302.27;271.27;232.00;181.22;138.97;132.10;34.66
56;317.47;286.47;240.03;181.77;139.52;132.62;34.68
57;320.34;289.34;245.09;182.34;145.52;133.13;34.86
58;321.56;290.56;250.73;182.90;146.14;133.65;34.87
59;322.13;291.13;257.15;183.77;147.01;134.25;34.90
60;322.70;291.70;262.88;194.05;147.56;138.59;36.25
61;332.99;301.99;267.80;195.10;148.13;142.47;36.35
62;342.33;311.33;271.64;195.76;148.67;143.02;38.94
63;343.31;312.31;277.02;202.70;149.22;143.54;38.95
64;353.20;322.20;278.17;204.99;152.15;146.34;38.97
65;355.36;324.36;286.77;205.60;156.18;150.22;40.01
66;356.26;325.26;287.66;210.13;156.73;150.75;40.40
67;373.97;342.97;299.02;211.86;159.87;153.77;40.42
68;375.96;344.96;304.56;213.44;161.15;155.01;41.16
69;376.52;345.52;309.55;214.09;164.72;158.17;41.56
70;377.11;346.11;315.99;225.30;179.54;162.61;42.14
71;377.66;346.66;321.01;226.43;181.96;163.18;42.15
72;387.85;356.85;325.99;226.98;182.51;163.75;42.16
73;395.30;364.30;333.32;227.56;183.09;164.31;42.56
74;396.05;365.05;334.09;228.11;183.64;164.88;42.57
75;397.22;366.22;342.34;229.54;184.75;166.03;42.59
76;407.38;376.38;343.53;230.65;185.84;167.15;44.98
77;408.40;377.40;344.68;231.77;186.96;168.31;45.63
78;409.20;378.20;360.45;232.97;188.06;169.64;47.35
79;410.00;379.00;362.03;234.20;189.17;170.68;49.31
80;410.80;379.80;372.35;235.41;189.97;171.80;50.26
81;412.35;381.35;373.19;236.42;190.87;172.93;50.66
82;413.88;382.88;374.05;237.47;191.76;174.08;51.90
83;415.42;384.42;374.88;238.51;192.68;175.22;51.91
84;416.94;385.94;375.71;239.54;193.58;176.35;53.97
85;418.49;387.49;376.54;240.59;194.49;177.48;53.98
86;420.01;389.01;377.37;241.62;195.40;178.61;56.97
87;421.55;390.55;378.20;242.66;196.32;179.76;57.00
88;423.08;392.08;379.03;243.71;197.22;180.88;58.27
89;424.62;393.62;379.86;244.75;198.14;182.02;59.90
90;426.15;395.15;380.69;245.79;199.04;183.15;62.49
91;430.22;399.22;381.65;247.93;200.75;187.52;62.50
92;434.33;403.33;382.46;249.07;201.62;188.63;63.09
93;438.40;407.40;383.31;250.20;202.51;189.75;63.69
94;442.47;411.47;384.14;251.34;203.42;190.87;65.37
95;446.54;415.54;384.97;252.47;204.32;191.98;65.96
96;450.61;419.61;385.80;253.60;205.23;193.11;66.39
97;454.68;423.68;386.63;254.73;206.13;194.22;68.99
98;458.75;427.75;387.46;255.87;207.05;195.35;69.44
99;462.82;431.82;388.29;257.00;207.95;196.47;69.85
100;466.89;435.89;389.12;258.14;208.86;197.58;71.03
101;473.45;442.45;400.97;260.67;212.15;200.31;71.72
102;475.24;444.24;402.14;261.80;213.06;201.39;71.73
103;480.20;449.20;403.31;262.94;213.96;202.49;73.51
104;481.99;450.99;404.47;264.07;214.88;203.58;73.52
105;483.77;452.77;405.65;265.20;215.79;204.67;75.69
106;485.55;454.55;406.82;266.33;216.71;205.77;75.70
107;487.34;456.34;407.99;267.47;217.61;206.88;76.75
108;489.12;458.12;409.16;268.60;218.52;207.97;77.59
109;490.91;459.91;410.33;269.73;219.42;209.08;79.45
110;492.70;461.70;411.49;270.87;220.34;210.19;81.36
111;494.49;463.49;412.67;272.00;221.24;211.29;81.48
112;496.27;465.27;413.84;273.13;222.15;212.38;83.16
113;498.06;467.06;415.01;274.27;223.05;213.50;83.17
114;499.85;468.85;416.18;275.40;223.96;214.61;84.95
115;501.63;470.63;417.34;276.53;224.87;215.70;86.23
116;503.42;472.42;418.52;277.67;225.77;216.82;86.24
117;505.21;474.21;419.68;278.80;226.69;217.92;87.07
118;506.99;475.99;420.85;279.93;227.59;219.01;88.09
119;508.77;477.77;422.02;281.07;228.51;220.12;89.90
120;510.56;479.56;423.18;282.20;229.41;221.23;91.19
121;535.77;496.65;441.72;301.67;240.24;231.14;91.21
122;539.04;499.78;444.60;304.09;242.12;232.96;92.96
123;542.31;502.90;447.48;306.51;244.00;234.78;93.05
124;545.58;506.03;450.36;308.93;245.88;236.60;93.97
125;548.85;509.16;453.24;311.35;247.76;238.42;93.98
126;552.12;512.29;456.12;313.77;249.64;240.24;94.90
127;555.39;515.42;459.00;316.19;251.52;242.06;96.54
128;558.66;518.55;461.88;318.61;253.40;243.88;96.55
129;561.93;521.68;464.76;321.03;255.28;245.70;97.79
130;565.20;524.81;467.64;323.45;257.16;247.52;97.82
131;568.47;527.94;470.52;325.87;259.04;249.34;99.35
132;571.74;531.07;473.40;328.29;260.92;251.16;99.39
133;575.01;534.20;476.28;330.71;262.80;252.98;100.49
134;578.28;537.33;479.16;333.13;264.68;254.80;102.21
135;581.55;540.46;482.04;335.55;266.56;256.62;104.23
136;584.82;543.59;484.92;337.97;268.44;258.44;104.24
137;595.95;553.48;542.52;412.37;327.43;313.73;104.49
138;600.30;557.52;546.48;415.38;329.82;316.02;107.15
139;604.65;561.56;550.44;418.39;332.21;318.31;107.54
140;609.00;565.60;554.40;421.40;334.60;320.60;109.26
141;613.35;569.64;558.36;424.41;336.99;322.89;109.27
142;617.70;573.68;562.32;427.42;339.38;325.18;109.83
143;622.05;577.72;566.28;430.43;341.77;327.47;109.84
144;626.40;581.76;570.24;433.44;344.16;329.76;114.45
145;630.75;585.80;574.20;436.45;346.55;332.05;115.60
146;635.10;589.84;578.16;439.46;348.94;334.34;115.61
147;639.45;593.88;582.12;442.47;351.33;336.63;116.75
148;643.80;597.92;586.08;445.48;353.72;338.92;117.44
149;648.15;601.96;590.04;448.49;356.11;341.21;117.45
150;652.50;606.00;594.00;451.50;358.50;343.50;117.46

Zone 4: Zone 4
Weight;FedEx First Overnight;FedEx Priority Overnight;FedEx Standard Overnight;FedEx 2Day A.M.;FedEx 2Day;FedEx Express Saver;Ground and Home Delivery
1;111.40;80.40;69.96;34.13;27.42;23.90;12.69
2;118.79;87.79;80.46;34.44;28.48;24.35;14.53
3;128.23;97.23;89.23;36.47;30.16;27.02;15.16
4;139.75;108.75;95.77;39.50;32.65;29.38;15.78
5;142.05;111.05;102.83;43.88;35.49;30.99;16.17
6;155.88;124.88;113.34;47.83;38.68;35.40;16.33
7;161.46;130.46;121.29;51.89;41.96;38.26;16.76
8;167.13;136.13;128.08;55.50;44.90;39.57;17.34
9;171.97;140.97;137.81;59.99;48.51;42.23;17.42
10;173.56;142.56;138.97;64.62;52.25;43.33;17.59
11;204.91;173.91;153.05;65.50;54.65;47.78;18.17
12;208.82;177.82;161.48;71.28;57.65;52.13;18.35
13;212.81;181.81;170.78;72.37;59.86;53.24;18.56
14;220.78;189.78;179.47;78.85;63.77;57.76;18.75
15;224.08;193.08;184.11;82.68;66.88;60.34;19.01
16;237.67;206.67;192.78;86.28;69.79;62.44;19.36
17;249.20;218.20;200.14;90.01;72.81;65.04;19.57
18;250.53;219.53;206.16;93.25;75.46;67.53;19.78
19;250.78;219.78;211.06;96.05;77.70;69.88;20.85
20;251.80;220.80;216.47;99.73;80.70;71.23;20.96
21;271.88;240.88;229.73;103.48;83.73;73.58;22.08
22;278.09;247.09;235.66;110.42;86.04;76.79;22.67
23;284.94;253.94;242.06;114.40;89.13;81.90;23.17
24;288.58;257.58;242.70;116.97;91.98;83.97;24.37
25;297.19;266.19;247.73;118.05;93.73;86.75;24.48
26;312.59;281.59;263.22;124.75;97.21;89.59;25.51
27;314.13;283.13;267.65;129.03;99.68;92.98;26.02
28;327.34;296.34;275.38;129.46;101.98;95.31;27.22
29;334.10;303.10;282.08;132.25;104.99;98.06;27.47
30;334.78;303.78;285.45;134.28;108.63;98.34;28.51
31;347.68;316.68;294.94;137.89;111.56;101.20;29.09
32;354.39;323.39;301.36;141.82;114.74;104.08;29.10
33;359.69;328.69;310.45;150.79;117.93;108.33;30.41
34;366.66;335.66;317.48;151.72;120.41;108.76;31.37
35;367.38;336.38;318.19;152.00;123.01;111.91;32.41
36;380.69;349.69;331.55;155.17;125.56;116.10;32.66
37;388.84;357.84;339.72;155.53;128.60;116.53;33.00
38;394.44;363.44;345.35;161.37;131.85;119.88;34.06
39;400.73;369.73;348.36;161.96;134.07;122.08;35.52
40;401.38;370.38;349.01;169.64;137.26;122.33;35.53
41;414.26;383.26;361.79;171.60;138.86;126.72;36.56
42;419.16;388.16;366.68;177.19;141.69;129.60;37.98
43;429.10;398.10;376.55;181.14;143.85;132.02;38.04
44;435.72;404.72;383.16;188.79;147.11;134.96;39.02
45;440.15;409.15;391.23;195.19;149.25;135.39;39.03
46;446.69;415.69;397.81;199.07;152.25;143.47;40.27
47;447.35;416.35;398.48;199.48;154.79;144.29;40.92
48;447.55;416.55;398.77;206.04;157.54;144.55;41.39
49;447.75;416.75;399.02;206.72;157.86;144.78;41.40
50;449.41;418.41;400.14;211.28;162.80;145.27;41.42
51;482.61;451.61;417.73;214.73;166.41;155.03;41.62
52;515.01;484.01;454.61;219.59;171.75;156.01;41.64
53;518.25;487.25;458.30;230.81;174.17;158.30;41.66
54;518.77;487.77;469.16;231.95;176.89;158.88;41.72
55;522.31;491.31;472.68;232.52;178.44;163.88;41.73
56;522.83;491.83;473.20;233.08;178.99;164.46;41.74
57;523.75;492.75;474.13;233.64;184.48;168.57;41.75
58;524.35;493.35;474.73;234.21;185.03;169.16;41.77
59;536.08;505.08;486.48;239.27;191.43;169.72;42.06
60;537.26;506.26;487.66;240.28;192.51;170.28;42.78
61;557.63;526.63;508.07;240.84;193.06;179.31;43.20
62;565.64;534.64;510.12;246.04;193.63;182.16;43.90
63;570.45;539.45;520.40;246.76;194.19;182.75;44.32
64;570.97;539.97;521.43;255.97;194.75;183.30;45.05
65;575.61;544.61;526.10;262.39;195.30;187.86;45.06
66;591.79;560.79;545.79;268.04;197.49;189.96;45.07
67;600.24;569.24;551.09;268.66;197.99;190.44;45.08
68;601.09;570.09;551.62;269.29;203.49;195.74;47.81
69;601.67;570.67;552.20;269.99;204.05;196.27;48.28
70;602.19;571.19;552.71;278.93;211.19;200.92;49.33
71;604.04;573.04;554.58;279.83;211.92;201.50;50.09
72;640.97;609.97;591.58;285.78;212.46;203.11;51.15
73;644.67;613.67;595.29;292.01;213.50;203.70;51.16
74;645.26;614.26;595.86;292.64;214.04;204.27;51.17
75;646.29;615.29;596.91;293.77;215.15;205.41;51.18
76;649.58;618.58;600.21;294.90;216.26;206.54;51.51
77;652.10;621.10;602.74;296.02;220.68;207.68;52.10
78;663.84;632.84;617.54;297.15;224.93;208.83;53.63
79;665.02;634.02;619.02;298.26;226.03;209.96;54.97
80;666.57;635.57;620.56;299.40;227.14;211.21;55.21
81;697.39;666.39;648.10;300.52;228.24;212.24;56.55
82;700.92;669.92;650.86;319.27;229.36;220.59;59.11
83;701.98;670.98;652.71;321.17;230.47;221.68;59.12
84;703.07;672.07;653.81;322.28;233.90;224.98;60.84
85;704.15;673.15;654.89;324.22;245.87;228.95;60.88
86;706.08;675.08;656.81;325.45;247.09;229.75;63.26
87;730.31;699.31;681.10;326.98;248.18;230.55;63.27
88;732.74;701.74;683.55;328.10;249.29;231.35;65.26
89;754.79;723.79;702.48;329.21;250.40;232.15;66.54
90;757.00;726.00;710.18;330.34;251.52;232.95;69.42
91;757.80;726.80;711.80;331.56;252.61;242.99;69.43
92;758.60;727.60;712.60;350.37;253.72;244.04;69.80
93;759.40;728.40;713.40;352.26;254.83;245.13;71.12
94;760.20;729.20;714.20;362.34;255.96;246.20;71.47
95;761.00;730.00;715.00;363.48;257.06;247.27;71.95
96;761.80;730.80;715.80;364.61;264.41;254.34;74.58
97;762.60;731.60;716.60;365.71;270.80;260.47;75.66
98;763.40;732.40;717.40;366.84;271.90;261.54;75.67
99;764.20;733.20;718.20;368.34;278.32;267.70;77.07
100;765.00;734.00;719.00;395.00;308.00;294.00;77.81
101;772.65;741.34;726.19;398.95;311.08;296.94;77.83
102;780.30;748.68;733.38;402.90;314.16;299.88;78.57
103;787.95;756.02;740.57;406.85;317.24;302.82;80.19
104;795.60;763.36;747.76;410.80;320.32;305.76;80.39
105;803.25;770.70;754.95;414.75;323.40;308.70;82.09
106;810.90;778.04;762.14;418.70;326.48;311.64;82.10
107;818.55;785.38;769.33;422.65;329.56;314.58;83.20
108;826.20;792.72;776.52;426.60;332.64;317.52;84.00
109;833.85;800.06;783.71;430.55;335.72;320.46;85.04
110;841.50;807.40;790.90;434.50;338.80;323.40;86.84
111;849.15;814.74;798.09;438.45;341.88;326.34;88.75
112;856.80;822.08;805.28;442.40;344.96;329.28;88.76
113;864.45;829.42;812.47;446.35;348.04;332.22;89.74
114;872.10;836.76;819.66;450.30;351.12;335.16;91.61
115;879.75;844.10;826.85;454.25;354.20;338.10;91.64
116;887.40;851.44;834.04;458.20;357.28;341.04;92.76
117;895.05;858.78;841.23;462.15;360.36;343.98;93.65
118;902.70;866.12;848.42;466.10;363.44;346.92;93.74
119;910.35;873.46;855.61;470.05;366.52;349.86;96.52
120;918.00;880.80;862.80;474.00;369.60;352.80;96.66
121;925.65;888.14;869.99;477.95;372.68;355.74;96.67
122;933.30;895.48;877.18;481.90;375.76;358.68;97.62
123;940.95;902.82;884.37;485.85;378.84;361.62;100.55
124;948.60;910.16;891.56;489.80;381.92;364.56;101.60
125;956.25;917.50;898.75;493.75;385.00;367.50;101.61
126;963.90;924.84;905.94;497.70;388.08;370.44;102.65
127;971.55;932.18;913.13;501.65;391.16;373.38;104.64
128;979.20;939.52;920.32;505.60;394.24;376.32;104.65
129;986.85;946.86;927.51;509.55;397.32;379.26;104.69
130;994.50;954.20;934.70;513.50;400.40;382.20;105.63
131;1002.15;961.54;941.89;517.45;403.48;385.14;107.64
132;1009.80;968.88;949.08;521.40;406.56;388.08;107.65
133;1017.45;976.22;956.27;525.35;409.64;391.02;107.66
134;1025.10;983.56;963.46;529.30;412.72;393.96;109.78
135;1032.75;990.90;970.65;533.25;415.80;396.90;111.78
136;1040.40;998.24;977.84;537.20;418.88;399.84;112.54
137;1048.05;1005.58;985.03;541.15;421.96;402.78;115.52
138;1055.70;1012.92;992.22;545.10;425.04;405.72;116.08
139;1063.35;1020.26;999.41;549.05;428.12;408.66;116.11
140;1071.00;1027.60;1006.60;553.00;431.20;411.60;117.25
141;1078.65;1034.94;1013.79;556.95;434.28;414.54;118.28
142;1086.30;1042.28;1020.98;560.90;437.36;417.48;119.33
143;1093.95;1049.62;1028.17;564.85;440.44;420.42;119.34
144;1101.60;1056.96;1035.36;568.80;443.52;423.36;122.83
145;1109.25;1064.30;1042.55;572.75;446.60;426.30;122.84
146;1116.90;1071.64;1049.74;576.70;449.68;429.24;122.85
147;1124.55;1078.98;1056.93;580.65;452.76;432.18;125.01
148;1132.20;1086.32;1064.12;584.60;455.84;435.12;125.16
149;1139.85;1093.66;1071.31;588.55;458.92;438.06;126.88
150;1147.50;1101.00;1078.50;592.50;462.00;441.00;126.90

Zone 5: Zone 5
